,Area,Classification
0,BE_11001,2
1,BE_11004,2
2,BE_11005,2
3,BE_11007,0
4,BE_11008,1
5,BE_11009,1
6,BE_11013,2
7,BE_11016,2
8,BE_11018,0
9,BE_11021,0
10,BE_11022,2
11,BE_11023,2
12,BE_11024,2
13,BE_11025,0
14,BE_11029,2
15,BE_11030,0
16,BE_11035,2
17,BE_11037,2
18,BE_11038,0
19,BE_11039,2
20,BE_11040,2
21,BE_11044,2
22,BE_11050,2
23,BE_11052,2
24,BE_11053,2
25,BE_11054,2
26,BE_11055,2
27,BE_11056,2
28,BE_11057,2
29,BE_12002,2
30,BE_12005,2
31,BE_12007,2
32,BE_12009,2
33,BE_12014,1
34,BE_12021,1
35,BE_12025,3
36,BE_12026,2
37,BE_12029,2
38,BE_12030,2
39,BE_12034,2
40,BE_12035,2
41,BE_12040,2
42,BE_13001,2
43,BE_13002,0
44,BE_13003,1
45,BE_13004,2
46,BE_13006,2
47,BE_13008,3
48,BE_13010,2
49,BE_13011,1
50,BE_13012,2
51,BE_13013,2
52,BE_13014,1
53,BE_13016,2
54,BE_13017,1
55,BE_13019,1
56,BE_13021,2
57,BE_13023,2
58,BE_13025,1
59,BE_13029,2
60,BE_13031,2
61,BE_13035,2
62,BE_13036,2
63,BE_13037,2
64,BE_13040,1
65,BE_13044,2
66,BE_13046,2
67,BE_13049,1
68,BE_13053,2
69,BE_21001,3
70,BE_21002,1
71,BE_21003,2
72,BE_21005,2
73,BE_21006,1
74,BE_21007,2
75,BE_21008,2
76,BE_21009,1
77,BE_21010,1
78,BE_21011,2
79,BE_21012,1
80,BE_21013,2
81,BE_21014,2
82,BE_21015,1
83,BE_21016,1
84,BE_21017,1
85,BE_21018,1
86,BE_21019,1
87,BE_23002,1
88,BE_23003,1
89,BE_23009,0
90,BE_23016,1
91,BE_23023,0
92,BE_23024,2
93,BE_23025,1
94,BE_23027,3
95,BE_23032,0
96,BE_23033,2
97,BE_23038,2
98,BE_23039,0
99,BE_23044,2
